"key1";"v171";"v172";"v173";"v174";"v175";"v176";"v177";"v178";"v179";"v180";"v181";"v182";"v183";"v184";"v185";"v186";"v187";"v188";"v189";"v190";"v191";"v192";"v193";"v194";"v195";"v196";"v197";"v198";"v199";"v200";"v201";"v202";"v203";"v204";"v171";"v172"
3;NA;NA;2009-03-30 18:53:17;2997;2017-06-14 13:59:34;0;2017-06-14 13:59:34;"ValidDomain";"500 Moderate";500;4;29;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Not Sure";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"business";0,1;"U"
6;NA;NA;2009-03-30 18:53:17;3002;2017-06-19 13:23:29;0;2017-06-19 13:23:29;"ValidDomain";"500 Moderate";500;4;29;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Not Sure";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"business";0,1;"U"
4;NA;NA;1998-04-28 20:00:00;6991;2017-06-19 13:30:01;0;2017-06-19 13:30:00;"Verified";"500 Moderate";500;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"business";0,1;"U"
88;NA;NA;1998-04-28 20:00:00;6993;2017-06-21 11:35:53;0;2017-06-21 11:35:53;"Verified";"500 Moderate";500;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
121;NA;NA;NA;NA;2016-12-08 16:52:05;194;2017-06-18 04:42:57;"Verified";"296 Low";296;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;2;2;"Yes";"Yes";"Low";4;510;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
